設置地點,設備型式,速限,LATITUDE,LONGITUDE
嘉義市彌陀路與學府路口南北雙向,雷達測速照相,50,23.464439,120.496649
嘉義市垂楊大橋東端,闖紅燈照相,,23.472663,120.437919
嘉義市忠孝路（台1線263K）前南下,雷達測速照相,50,23.51212,120.444349
嘉義市文化路694巷口南下,雷達測速、闖紅燈照相,50,23.497126,120.442524
嘉義市北港路1158號前西向東,雷達測速照相,50,23.490176,120.40359
嘉義市北港路與竹仔腳路口西向東,雷達測速、闖紅燈照相,50,23.491565,120.39789
嘉義市北港路與中興路口東向西,雷達測速、闖紅燈照相,50,23.479925,120.430069
嘉義市高鐵大道925號前西向東,雷達測速照相,70,23.486872,120.40342
嘉義市博愛路與中興路口北上,雷達測速、闖紅燈照相,50,23.480523,120.438645
嘉義市博愛路與自強街口南北雙向,雷達測速、闖紅燈照相,50,23.464802,120.425061
嘉義市大雅路470號前西向東,雷達測速照相,50,23.491804,120.473757
嘉義市興業東路與國華街口西向東,雷達測速、闖紅燈照相,50,23.4687,120.449134
嘉義市林森東路612巷斜對面東向西,雷達測速照相,50,23.491885,120.473642
嘉義市湖子內路100號前北上,雷達測速、闖紅燈照相,50,23.453062,120.442254
嘉義市新民路416巷口北上,雷達測速、闖紅燈照相,50,23.459939,120.440559
嘉義市忠孝路與義教街口北上,雷達測速、闖紅燈照相,50,23.498265,120.4515
嘉義市彌陀路162巷口北上,雷達測速、闖紅燈照相,50,23.468078,120.46644
