加油站名稱,加油站地址,LATITUDE,LONGITUDE
博愛路,嘉義市60081東區博愛路ㄧ段２號,23.4902669,120.45236279999995
信義路,嘉義市博愛路二段５１９號,23.469028,120.42896380000002
吳鳳路,嘉義市吳鳳南路９２號,23.4693351,120.45422710000003
興嘉,嘉義市60047車店里上海路２４６號,23.4676747,120.43398379999996
北興,嘉義市自由路436號,23.4919261,120.4330837
文化路,嘉義市文化路１１號,23.474645,120.45009370000002
中山路,嘉義市中山路９０號,23.482156,120.45893090000004
林森路,嘉義市林森西路２８１號,23.4806834,120.44373070000006
台亞嘉義忠孝加油站,嘉義巿忠孝路８０８號,23.518042,120.441055
台亞嘉安,嘉義巿北港路５９３號,23.4851268,120.41958709999994
新民路,嘉義巿新民路９０６號,23.4737943,120.4395773
民生,嘉義市湖內里新民路３０號,23.4522827,120.43230510000001
台亞嘉義世賢加油站,嘉義市世賢路一段１０６２號,23.48566,120.42305399999998
嘉峰,嘉義市大雅路二段四九七號,23.4775187,120.47083129999999
嘉義新生路,嘉義市60053新生路７０２號,23.4951331,120.45608349999998
福懋欣隆,嘉義市林森東路５５６號,23.492018,120.47246399999995
嘉益,嘉義市西區世賢路一段１３６號,23.4955844,120.44337930000006
港坪,嘉義市西區港坪里世賢路二段四四六號,23.4720293,120.42106109999997
興達,嘉義市西區竹圍里建國路95號,23.4853791,120.43583710000007
世賢路,嘉義市世賢路三段２５６號,23.4616314,120.43296450000003
嘉交加油站,嘉義市西區竹村里北港路１１５８號,23.4923095,120.3971249
中興路,嘉義市中興路591號,23.47641,120.42831799999999
福懋大嘉,嘉義市西區福全里32鄰北港路530-15號,23.485427,120.42028800000003
福懋新民,嘉義市湖內里新民路51號,23.4528422,120.43268690000002
威盛,嘉義市博東路８０號,23.4907776,120.46149809999997
湖子內路,嘉義市湖子內路１００號,23.4529709,120.44217759999992
福懋嘉義,嘉義市忠孝路６７４號,23.5025525,120.44944039999996
台林,嘉義市東區後湖里台林街393號,23.5010886,120.45688760000007
福懋文化,嘉義市文化路１１６０號,23.5077577,120.4363879
磐石,嘉義市新民路１９１號,23.45586,120.43598859999997
台亞嘉義交流道,嘉義市北港路１０６２號,23.4924254,120.39750159999994
久井嘉義加油站,嘉義市西區竹村里埤竹路121號,23.490213,120.39697799999999
中油嘉義高鐵北站,嘉義市大溪里高鐵大道1250號,23.4882575,120.40032100000008
中油嘉義高鐵南站,嘉義市大溪里高鐵大道925號,23.4870329,120.40246560000003
台糖嘉保,嘉義市西區大溪里高鐵大道五六六號,23.4839727,120.4141793
中山高嘉義竹村站,嘉義市西區竹村里北港路1335之30號,23.4917276,120.39807150000001
北港加油站,嘉義市西區下埤里北港路九六○號,23.488512,120.41013799999996
